xenbase_gene_id,S20_C_5,S20_C_6,S20_C_A,S20_F_5,S20_F_6,S20_F_A
XB-GENE-1008501,27,13,16,16,18,27
XB-GENE-1008542,126,49,75,117,145,177
XB-GENE-1008553,27,14,28,13,24,46
XB-GENE-1008574,712,230,302,570,441,660
XB-GENE-1008585,0,0,0,0,0,1
XB-GENE-1008599,99,34,55,55,60,106
XB-GENE-1008633,87,38,64,68,86,151
XB-GENE-1008656,234,78,132,103,137,167
XB-GENE-1008683,95,48,65,51,62,114
XB-GENE-1008693,1561,760,818,820,840,1284
XB-GENE-1008704,95,39,51,47,49,61
XB-GENE-1008737,504,213,282,364,372,561
XB-GENE-1008751,1378,669,808,927,1157,1448
XB-GENE-1008764,79,47,47,44,80,95
XB-GENE-1008776,390,153,183,249,275,321
XB-GENE-1008789,792,346,329,487,417,633
XB-GENE-1008802,0,0,0,0,0,0
XB-GENE-1008815,134,55,115,96,101,143
XB-GENE-1008842,15,12,3,7,6,3
XB-GENE-1008861,2191,710,1284,1655,1660,2669
XB-GENE-1008920,2266,929,1593,1900,1868,2901
XB-GENE-1008948,1212,569,721,862,933,1354
XB-GENE-1008957,8586,5310,5100,5407,7331,6986
XB-GENE-1008976,293,153,279,196,210,370
XB-GENE-1008989,220,88,115,129,148,135
XB-GENE-1009032,14,5,5,5,10,15
XB-GENE-1009048,148,79,93,89,62,128
XB-GENE-1009077,1,0,0,0,0,1
XB-GENE-1009094,9,3,2,7,6,6
XB-GENE-1009106,95,37,52,39,68,93
XB-GENE-1009196,0,0,0,0,1,1
XB-GENE-1009216,595,288,327,340,459,533
XB-GENE-1009237,0,0,0,0,1,1
XB-GENE-1009249,92,70,121,68,69,128
XB-GENE-1009260,4066,2932,2786,2853,3659,3592
XB-GENE-1009272,293,133,191,166,203,252
XB-GENE-1009279,434,180,245,274,356,502
XB-GENE-1009293,9,2,49,3,7,94
XB-GENE-1009310,41,13,18,25,40,37
XB-GENE-1009335,65,27,35,32,20,64
XB-GENE-1009581,15,11,13,12,27,21
XB-GENE-1009595,17,9,13,14,16,16
XB-GENE-1009610,123,64,52,66,92,89
XB-GENE-1009619,86,74,108,57,113,128
XB-GENE-1009638,1397,879,1705,1568,1453,2483
XB-GENE-1009651,1821,469,812,1068,632,1295
XB-GENE-1009676,293,141,189,206,256,353
XB-GENE-1009696,246,78,123,141,129,255
XB-GENE-1009705,117,60,72,85,80,121
XB-GENE-1009714,600,277,300,389,413,607
XB-GENE-1009721,598,299,575,314,663,557
XB-GENE-1009773,32,25,14,22,46,29
XB-GENE-1009783,57,15,15,42,49,53
XB-GENE-1009803,330,160,218,172,256,280
XB-GENE-1009814,125,49,63,76,88,106
XB-GENE-1009823,469,197,232,293,305,410
XB-GENE-1009853,239,62,92,145,119,178
XB-GENE-1009889,387,210,281,228,190,262
XB-GENE-1009907,141,55,93,116,133,187
XB-GENE-1009917,97,36,50,77,59,94
XB-GENE-1009929,38,15,16,15,24,42
XB-GENE-1009967,2145,1238,1945,1705,1393,2305
XB-GENE-1009978,56,26,57,25,28,65
XB-GENE-1010001,4220,2081,3083,2385,2856,4753
XB-GENE-1010024,630,290,362,441,486,626
XB-GENE-1010034,175,67,127,99,108,136
XB-GENE-1010060,214,92,119,151,95,185
XB-GENE-1010073,213,123,120,141,190,184
XB-GENE-1010155,1205,443,615,741,699,919
XB-GENE-1010183,47,16,23,28,28,37
XB-GENE-1010200,154,69,85,98,131,155
XB-GENE-1010209,0,0,0,0,0,0
XB-GENE-1010220,5109,2307,2363,2631,3106,3675
XB-GENE-1010233,27,4,11,14,7,24
XB-GENE-1010249,166,72,146,116,148,218
XB-GENE-1010285,81,54,62,51,88,147
XB-GENE-1010304,9,15,33,37,123,486
XB-GENE-1010315,65,37,82,48,60,113
XB-GENE-1010341,387,198,334,200,372,319
XB-GENE-1010367,511,248,329,302,392,509
XB-GENE-1010437,119,47,47,69,55,75
XB-GENE-1010448,1100,589,544,638,605,887
XB-GENE-1010464,289,110,168,205,190,260
XB-GENE-1010511,534,252,318,350,416,546
XB-GENE-1010542,325,180,189,205,265,361
XB-GENE-1010554,353,124,183,285,237,323
XB-GENE-1010569,492,294,385,293,340,503
XB-GENE-1010586,20,14,7,15,25,23
XB-GENE-1010595,42,18,21,19,14,51
XB-GENE-1010605,112,50,94,77,112,234
XB-GENE-1010618,620,209,267,350,275,402
XB-GENE-1010640,145,62,71,85,71,123
XB-GENE-1010663,0,0,0,0,0,0
XB-GENE-1010692,60,29,45,48,43,66
XB-GENE-1010711,227,103,154,119,145,245
XB-GENE-1010729,70,28,48,46,47,57
XB-GENE-1010765,470,340,414,328,538,787
XB-GENE-1010778,52,19,52,39,16,93
XB-GENE-1010786,43,17,15,28,23,100
XB-GENE-1010823,3,3,5,3,5,9
XB-GENE-1010852,30,9,11,20,12,16
XB-GENE-1010862,483,279,260,351,422,542
XB-GENE-1010880,227,133,123,169,207,303
XB-GENE-1010893,0,0,0,0,0,2
XB-GENE-1010935,51,27,37,32,36,71
XB-GENE-1010966,56,31,40,30,27,63
XB-GENE-1010995,77,0,89,14,34,81
XB-GENE-1011022,27,22,14,15,18,28
XB-GENE-1011062,471,271,415,296,409,677
XB-GENE-1011071,72,32,77,31,35,89
XB-GENE-1011089,46,41,50,36,53,75
XB-GENE-1011119,1,0,0,5,0,2
XB-GENE-1011130,252,145,154,143,162,286
XB-GENE-1011138,30,23,11,14,24,38
XB-GENE-1011152,547,400,373,452,518,495
XB-GENE-1011176,115,45,73,71,63,137
XB-GENE-1011189,0,1,0,0,0,0
XB-GENE-1011208,90,46,49,56,80,89
XB-GENE-1011243,1500,835,1426,818,1500,1385
XB-GENE-1011251,50,37,45,42,48,63
XB-GENE-1011263,176,77,73,90,85,176
XB-GENE-1011273,13,14,18,15,30,43
XB-GENE-1011280,698,358,459,388,561,588
XB-GENE-1011289,10,11,20,10,7,27
XB-GENE-1011318,17,5,30,13,9,24
XB-GENE-1011330,9,3,6,9,7,9
XB-GENE-1011340,27,7,17,14,18,10
XB-GENE-1011364,167,96,146,124,144,241
XB-GENE-1011375,320,110,98,124,210,156
XB-GENE-1011383,272,130,159,162,246,329
XB-GENE-1011420,0,0,0,0,0,0
XB-GENE-1011443,255,145,123,132,169,198
XB-GENE-1011470,86,52,76,61,44,76
XB-GENE-1011486,171,48,73,128,205,367
XB-GENE-1011507,8,9,2,6,13,20
XB-GENE-1011516,16,6,7,9,11,16
XB-GENE-1011524,145,62,91,103,119,153
XB-GENE-1011554,161,86,96,119,114,131
XB-GENE-1011581,848,323,398,711,651,922
XB-GENE-1011592,135,44,61,70,80,178
XB-GENE-1011603,6,3,7,52,80,112
XB-GENE-1011616,48,37,48,43,50,73
XB-GENE-1011623,0,0,1,0,1,19
XB-GENE-1011632,7,4,2,0,3,5
XB-GENE-1011640,31,36,26,25,25,24
XB-GENE-1011662,0,0,0,0,0,0
XB-GENE-1011676,306,88,210,138,160,332
XB-GENE-1011692,1478,676,1308,794,684,1929
XB-GENE-1011702,1,1,1,0,2,4
XB-GENE-1011711,62,38,37,44,64,68
XB-GENE-1011728,433,182,193,228,209,309
XB-GENE-1011754,25,17,19,16,22,32
XB-GENE-1011778,172,89,119,119,116,202
XB-GENE-1011784,964,530,489,630,451,862
XB-GENE-1011821,124,65,89,97,93,165
XB-GENE-1011835,354,230,378,215,305,478
XB-GENE-1011855,164,109,85,138,183,231
XB-GENE-1011888,23,12,18,14,31,21
XB-GENE-1011898,8,7,3,5,7,8
XB-GENE-1011909,1,1,0,2,1,3
XB-GENE-1011940,199,125,186,137,193,269
XB-GENE-1011983,20,9,12,13,17,31
XB-GENE-1012016,0,0,0,0,0,0
XB-GENE-1012028,59,27,43,49,45,92
XB-GENE-1012061,23,16,14,15,28,20
XB-GENE-1012072,33,10,25,17,15,46
XB-GENE-1012096,108,74,95,61,110,148
XB-GENE-1012111,269,113,127,150,136,184
XB-GENE-1012139,530,314,494,286,345,699
XB-GENE-1012161,92,47,80,60,82,114
XB-GENE-1012170,127,77,91,67,94,145
XB-GENE-1012182,230,85,130,197,258,331
XB-GENE-1012216,894,553,842,506,525,1323
XB-GENE-1012227,19,7,23,15,17,55
XB-GENE-1012242,424,200,263,264,305,460
XB-GENE-1012266,96,34,50,64,75,107
XB-GENE-1012286,275,133,296,166,308,259
XB-GENE-1012308,573,280,358,316,306,509
XB-GENE-1012350,300,121,147,220,172,248
XB-GENE-1012370,78,47,193,44,75,156
XB-GENE-1012381,27,13,24,22,20,51
XB-GENE-1012412,135,53,63,103,109,122
XB-GENE-1012424,188,109,151,127,130,219
XB-GENE-1012451,0,0,1,0,0,0
XB-GENE-1012464,113,40,47,68,54,78
XB-GENE-1012473,0,0,0,0,0,5
XB-GENE-1012486,43,19,44,36,53,71
XB-GENE-1012509,218,89,88,149,173,180
XB-GENE-1012552,6169,2785,4012,4350,4029,7511
XB-GENE-1012570,81,29,61,61,89,177
XB-GENE-1012595,436,86,195,357,147,325
XB-GENE-1012639,0,0,0,0,0,0
XB-GENE-1012650,190,91,118,122,166,161
XB-GENE-1012677,19,5,18,10,13,15
XB-GENE-1012693,419,223,212,303,277,361
XB-GENE-1012725,63,32,16,36,47,35
XB-GENE-1012738,1,2,7,3,2,7
XB-GENE-1012771,69,24,41,39,43,54
XB-GENE-1012781,0,0,0,0,0,0
XB-GENE-1012790,1091,621,794,720,1039,1131
XB-GENE-1012805,941,464,453,592,765,773
XB-GENE-1012829,4,1,0,1,0,3
XB-GENE-1012845,231,98,141,141,148,151
XB-GENE-1012867,62,41,37,31,46,71
XB-GENE-1012879,532,208,245,321,291,481
XB-GENE-1012896,353,215,239,215,287,333
XB-GENE-1012914,44,23,22,31,41,115
XB-GENE-1012927,13,4,6,7,6,19
XB-GENE-1012936,1508,712,1245,1039,1020,2441
XB-GENE-1012950,460,217,256,280,491,537
XB-GENE-1012968,2,0,1,0,2,0
XB-GENE-1012976,10,5,11,9,13,47
XB-GENE-1012987,41,15,25,29,18,38
