CID,TID,Track Duration (min),Track Length (µm),Meandering Index,Euclidean Distance (µm),Mean Speed (µm/min),Track Present at Start or End?,Track Never Divides/Breaks?,Start Time: Total Time,End Time: Total Time,Track Duration: Total Time
4.0,4.0,1656.0,871.95,0.6582433387979321,573.9552792648569,0.5265398550724638,False,False,0.32575757575757575,0.5984848484848485,0.2727272727272727
4.0,5.0,1495.0,702.706,0.8176283968959949,574.552380269197,0.47003745819397996,False,False,0.32575757575757575,0.571969696969697,0.24621212121212122
4.0,6.0,1587.0,834.639,0.3085814906388231,257.5541467652967,0.5259224952741021,False,False,0.3446969696969697,0.6060606060606061,0.26136363636363635
4.0,7.0,1725.0,855.568,0.5093698440017332,435.8005386928749,0.4959814492753623,False,False,0.3446969696969697,0.6287878787878788,0.2840909090909091
4.0,8.0,2415.0,503.517,0.505795066616952,254.6764145577678,0.20849565217391305,False,False,0.5984848484848485,0.9962121212121212,0.3977272727272727
4.0,9.0,2438.0,1176.674,0.32035100018797624,376.94869279518673,0.4826390484003281,True,False,0.5984848484848485,1.0,0.4015151515151515
4.0,10.0,1886.0,774.832,0.5309730587855565,411.41491708493027,0.4108335100742312,False,False,0.5757575757575758,0.8863636363636364,0.3106060606060606
4.0,11.0,2162.0,992.601,0.4347063346029197,431.4899424331927,0.4591123959296947,False,False,0.5757575757575758,0.9318181818181818,0.3560606060606061
4.0,12.0,391.0,186.532,0.6036882782111355,112.60718191127953,0.4770639386189259,True,False,0.9356060606060606,1.0,0.06439393939393939
4.0,13.0,391.0,178.361,0.14602547657613593,26.04525002759618,0.4561662404092071,True,False,0.9356060606060606,1.0,0.06439393939393939
4.0,14.0,2254.0,965.399,0.5012646675664347,483.9204088039685,0.4283047914818101,True,False,0.6287878787878788,1.0,0.3712121212121212
4.0,15.0,1403.0,778.39,0.5454182729677276,424.5481294953495,0.5548039914468995,False,False,0.6287878787878788,0.8598484848484849,0.23106060606060605
4.0,16.0,667.0,352.838,0.23795538185729703,83.95970102376498,0.528992503748126,True,False,0.8901515151515151,1.0,0.10984848484848485
4.0,17.0,667.0,272.739,0.6859054210944698,187.0731586438846,0.40890404797601193,True,False,0.8901515151515151,1.0,0.10984848484848485
4.0,18.0,2024.0,970.779,0.5696665727990275,553.0203458752671,0.4796338932806324,False,False,0.6098484848484849,0.9431818181818182,0.3333333333333333
4.0,19.0,1541.0,835.371,0.44543024163199985,372.09950638236535,0.5420966904607397,False,False,0.6098484848484849,0.8636363636363636,0.2537878787878788
4.0,20.0,782.0,437.449,0.24630157934816047,107.74437958427345,0.5593976982097187,True,False,0.8712121212121212,1.0,0.12878787878787878
4.0,21.0,782.0,389.749,0.050891788808452056,19.835023796305382,0.4984002557544757,True,False,0.8712121212121212,1.0,0.12878787878787878
4.0,22.0,253.0,111.955,0.9025571537374578,101.04578614667709,0.4425098814229249,False,False,0.9545454545454546,0.9962121212121212,0.041666666666666664
4.0,23.0,253.0,83.49,0.7899061331753402,65.94926305880915,0.32999999999999996,False,False,0.9545454545454546,0.9962121212121212,0.041666666666666664
5.0,1.0,1104.0,568.971,0.5597593289875056,318.48682517335004,0.5153722826086956,True,False,0.0,0.18181818181818182,0.18181818181818182
5.0,2.0,2576.0,1005.48,0.1633789944587929,164.2743113484271,0.39032608695652177,False,False,0.1856060606060606,0.6098484848484849,0.42424242424242425
5.0,3.0,2346.0,1019.837,0.19963397145422115,203.59411054595853,0.43471312872975276,False,False,0.1856060606060606,0.571969696969697,0.38636363636363635
5.0,4.0,2346.0,558.373,0.3346063023632869,186.83512486949562,0.23801065643648767,True,False,0.6136363636363636,1.0,0.38636363636363635
5.0,5.0,2346.0,730.982,0.4459600089482865,325.98873926103636,0.3115865302642796,True,False,0.6136363636363636,1.0,0.38636363636363635
5.0,6.0,2576.0,1019.776,0.20375348710527003,207.78291606626382,0.39587577639751553,True,False,0.5757575757575758,1.0,0.42424242424242425
5.0,7.0,2576.0,790.942,0.05942334467412024,47.000419083238015,0.30704270186335403,True,False,0.5757575757575758,1.0,0.42424242424242425
6.0,1.0,805.0,318.356,0.30219229719166707,96.20473096475037,0.3954732919254658,True,False,0.0,0.13257575757575757,0.13257575757575757
6.0,2.0,3243.0,1020.787,0.39295741048076854,401.1258161724323,0.3147662658032686,False,False,0.13636363636363635,0.6704545454545454,0.5340909090909091
6.0,3.0,2024.0,773.692,0.41118896188153875,318.1336102960515,0.3822588932806324,False,False,0.13636363636363635,0.4696969696969697,0.3333333333333333
6.0,4.0,2001.0,529.212,0.6568744770311497,347.6258557386088,0.2644737631184408,True,False,0.6704545454545454,1.0,0.32954545454545453
6.0,5.0,1978.0,522.176,0.7752613182318862,404.8228541090534,0.2639919110212336,False,False,0.6704545454545454,0.9962121212121212,0.32575757575757575
6.0,6.0,3174.0,998.128,0.30184515758858604,301.28010345358024,0.3144700693131695,False,False,0.4734848484848485,0.9962121212121212,0.5227272727272727
6.0,7.0,3174.0,1057.96,0.25201804467715944,266.6250105466476,0.3333207309388784,False,False,0.4734848484848485,0.9962121212121212,0.5227272727272727
7.0,1.0,943.0,364.176,0.5543785479717163,201.89136208614772,0.3861887592788971,True,False,0.0,0.1553030303030303,0.1553030303030303
