CID	TID	track.duration	track.length	meandering.index	euclidean.distance	mean.speed	track.present.at.start.or.end	track.never.divides	start.time.total.time	end.time.total.time	track.duration.total.time	cell.line
4	1	575	210.781	0.3350609169773964	70.62447514141259	0.3665756521739131	TRUE	FALSE	0	0.09505703422053231	0.09505703422053231	B2
4	2	1426	393.661	0.33713600348821715	132.71729626917505	0.2760596072931276	FALSE	FALSE	0.0988593155893536	0.33460076045627374	0.23574144486692017	B2
4	3	1288	318.255	0.1416124984598548	45.06888569734109	0.24709239130434785	FALSE	FALSE	0.0988593155893536	0.311787072243346	0.2129277566539924	B2
4	4	3105	627.598	0.19938235539045485	125.13196747833868	0.20212495974235103	FALSE	FALSE	0.33840304182509506	0.8517110266159695	0.5133079847908745	B2
4	5	2438	478.466	0.14173020936716238	67.81308635506872	0.196253486464315	FALSE	FALSE	0.33840304182509506	0.7414448669201521	0.40304182509505704	B2
4	6	2392	486.147	0.0672095527457362	32.673722438681416	0.2032387123745819	FALSE	FALSE	0.3155893536121673	0.7110266159695817	0.3954372623574144	B2
4	7	2484	425.734	0.2878444650662396	122.54517549051045	0.171390499194847	FALSE	FALSE	0.3155893536121673	0.7262357414448669	0.4106463878326996	B2
4	8	874	162.645	0.33466549446898536	54.43166934790813	0.18609267734553775	TRUE	FALSE	0.8555133079847909	1	0.1444866920152091	B2
4	9	874	153.361	0.6170333595050179	94.62885304704903	0.17547025171624714	TRUE	FALSE	0.8555133079847909	1	0.1444866920152091	B2
4	10	1518	384.749	0.10058346588309829	38.699387915056185	0.2534578392621871	FALSE	FALSE	0.7452471482889734	0.9961977186311788	0.2509505703422053	B2
4	11	943	193.389	0.3114704642388505	60.23496160868706	0.20507847295864265	FALSE	FALSE	0.7452471482889734	0.9011406844106464	0.155893536121673	B2
4	12	1127	295.647	0.4043268510952795	119.53802054576612	0.26233096716947646	FALSE	FALSE	0.714828897338403	0.9011406844106464	0.18631178707224336	B2
4	13	1725	424.611	0.1251958844837281	53.159549706520274	0.2461513043478261	TRUE	FALSE	0.714828897338403	1	0.28517110266159695	B2
4	14	1610	451.702	0.29172731882066927	131.77381336593396	0.28056024844720495	FALSE	FALSE	0.7300380228136882	0.9961977186311788	0.2661596958174905	B2
